"species_id","region","taxa","species_name","synonym1","synonym2","family","de_name1","de_name2","de_name3","de_name4","comment"
"SCHP034Care","SCH","plant","Cardaminopsis_arenosa","Arabidopsis_arenosa",NA,"Brassicaceae","Sand-Schaumkresse",NA,NA,NA,NA
"SCHP038Carv","SCH","plant","Cerastium_arvense",NA,NA,"Caryophyllaceae","Acker-Hornkraut",NA,NA,NA,NA
"SCHP039Chol","SCH","plant","Cerastium_holosteoides","Cerastium_fontanum",NA,"Caryophyllaceae","Gewöhnliches Hornkraut",NA,NA,NA,NA
"SCHP040Cint","SCH","plant","Cichorium_intybus",NA,NA,"Asteraceae","Gewöhnliche Wegwarte",NA,NA,NA,NA
"SCHP041Carv","SCH","plant","Cirsium_arvense",NA,NA,"Asteraceae","Acker-Kratzdistel",NA,NA,NA,NA
"SCHP042Cole","SCH","plant","Cirsium_oleraceum",NA,NA,"Asteraceae","Kohl-Kratzdistel","Kohldistel",NA,NA,NA
"SCHP045Carv","SCH","plant","Convolvulus_arvensis",NA,NA,"Convolvulaceae","Acker-Winde",NA,NA,NA,NA
"SCHP050Dglo","SCH","plant","Dactylis_glomerata",NA,NA,"Poaceae","Wiesen-Knäuelgras",NA,NA,NA,NA
"SCHP055Epar","SCH","plant","Epilobium_parviflorum",NA,NA,"Onagraceae","Bach-Weidenröschen","Kleinblütiges Weidenröschen",NA,NA,NA
"SCHP058Ecic","SCH","plant","Erodium_cicutarium",NA,NA,"Geraniaceae","Gewöhnliche Reiherschnabel","Gemeiner Reiherschnabel",NA,NA,NA
"SCHP067Gmol","SCH","plant","Galium_mollugo",NA,NA,"Rubiaceae","Wiesen-Labkraut",NA,NA,NA,"aggr."
"SCHP069Gmol","SCH","plant","Geranium_molle",NA,NA,"Geraniaceae","Weicher Storchschnabel",NA,NA,NA,NA
"SCHP070Gpus","SCH","plant","Geranium_pusillum",NA,NA,"Geraniaceae","Kleine Storchschnabel",NA,NA,NA,NA
"SCHP071Ghed","SCH","plant","Glechoma_hederacea",NA,NA,"Lamiaceae","Gundermann","Gundelrebe",NA,NA,NA
"SCHP072Hsph","SCH","plant","Heracleum_sphondylium",NA,NA,"Apiaceae","Wiesen-Bärenklau",NA,NA,NA,NA
"SCHP073Hpil","SCH","plant","Hieracium_pilosella","Pilosella_officirum",NA,"Asteraceae","Kleines Habichtskraut","Mausöhrchen",NA,NA,NA
"SCHP075Hrad","SCH","plant","Hypochaeris_radicata","Hypochoeris_radicata",NA,"Asteraceae","Gewöhnliche Ferkelkraut",NA,NA,NA,NA
"SCHP082Laut","SCH","plant","Leontodon_autumnalis","Scorzoneroides_autumnalis",NA,"Asteraceae","Gewöhnlicher Herbst-Löwenzahn",NA,NA,NA,NA
"SCHP090Mlup","SCH","plant","Medicago_lupulina",NA,NA,"Fabaceae","Hopfenklee","Schneckenklee",NA,NA,NA
"SCHP091Msat","SCH","plant","Medicago_sativa","Medicago_×_varia",NA,"Fabaceae","Saat-Luzerne",NA,NA,NA,"aggr."
"SCHP098Pamp","SCH","plant","Persicaria_amphibia","Polygonum_amphibium",NA,"Polygonaceae","Wasser-Knöterich",NA,NA,NA,NA
"SCHP101Paru","SCH","plant","Phalaris_arundinacea",NA,NA,"Poaceae","Rohr-Glanzgras",NA,NA,NA,NA
"SCHP105Plan","SCH","plant","Plantago_lanceolata",NA,NA,"Plantaginaceae","Spitz-Wegerich",NA,NA,NA,NA
"SCHP106Ppra","SCH","plant","Poa_pratensis",NA,NA,"Poaceae","Wiesen-Rispengras",NA,NA,NA,"aggr."
"SCHP109Pans","SCH","plant","Potentilla_anserina",NA,NA,"Rosaceae","Gänse-Fingerkraut",NA,NA,NA,NA
"SCHP110Parg","SCH","plant","Potentilla_argentea",NA,NA,"Rosaceae","Silber-Fingerkraut",NA,NA,NA,NA
"SCHP112Prep","SCH","plant","Potentilla_reptans",NA,NA,"Rosaceae","Kriechende Fingerkraut",NA,NA,NA,NA
"SCHP117Racr","SCH","plant","Ranunculus_acris",NA,NA,"Ranunculaceae","Scharfer Hahnenfuß",NA,NA,NA,NA
"SCHP119Rbul","SCH","plant","Ranunculus_bulbosus",NA,NA,"Ranunculaceae","Knolliger Hahnenfuß","Knollen Hahnenfuß",NA,NA,NA
"SCHP120Rrep","SCH","plant","Ranunculus_repens",NA,NA,"Ranunculaceae","Kriechende Hahnenfuß",NA,NA,NA,NA
"SCHP124Race","SCH","plant","Rumex_acetosa",NA,NA,"Polygonaceae","Wiesen-Sauerampfer","Großer Sauerampfer",NA,NA,NA
"SCHP125Race","SCH","plant","Rumex_acetosella",NA,NA,"Polygonaceae","Kleine Sauerampfer",NA,NA,NA,NA
"SCHP126Rcri","SCH","plant","Rumex_crispus",NA,NA,"Polygonaceae","Krauser Ampfer",NA,NA,NA,NA
"SCHP127Robt","SCH","plant","Rumex_obtusifolius",NA,NA,"Polygonaceae","Stumpfblättrige Ampfer",NA,NA,NA,NA
"SCHP128Rthy","SCH","plant","Rumex_thyrsiflorus",NA,NA,"Polygonaceae","Straußblütige Sauerampfer",NA,NA,NA,NA
"SCHP142Sgra","SCH","plant","Stellaria_graminea",NA,NA,"Caryophyllaceae","Gras-Sternmiere",NA,NA,NA,NA
"SCHP143Soff","SCH","plant","Symphytum_officinale",NA,NA,"Boraginaceae","Arznei-Beinwell","Gewöhnlicher Beinwell",NA,NA,NA
"SCHP150Tcam","SCH","plant","Trifolium_campestre",NA,NA,"Fabaceae","Feld-Klee",NA,NA,NA,NA
"SCHP151Tdub","SCH","plant","Trifolium_dubium",NA,NA,"Fabaceae","Faden-Klee","Kleiner Klee",NA,NA,NA
"SCHP154Tpra","SCH","plant","Trifolium_pratense",NA,NA,"Fabaceae","Rote Wiesenklee","Rotklee","Rot-Klee","Roter Wiesen-Klee",NA
"SCHP155Trep","SCH","plant","Trifolium_repens",NA,NA,"Fabaceae","Weiß-Klee","Kriechender Klee",NA,NA,NA
"SCHP158Udio","SCH","plant","Urtica_dioica",NA,NA,"Urticaceae","Große Brennessel",NA,NA,NA,NA
"SCHP160Vcha","SCH","plant","Veronica_chamaedrys",NA,NA,"Plantaginaceae","Gamander-Ehrenpreis",NA,NA,NA,NA
"SCHP164Vcra","SCH","plant","Vicia_cracca",NA,NA,"Faboideae","Vogel-Wicke",NA,NA,NA,"aggr."
"SCHP165Vhir","SCH","plant","Vicia_hirsuta",NA,NA,"Faboideae","Rauhaarige Wicke","Behaarte Wicke",NA,NA,NA
"SCHP166Vsat","SCH","plant","Vicia_sativa","Vicia_angustifolia",NA,"Faboideae","Futter-Wicke","Saat-Wicke","Schmalblättrige Wicke",NA,"aggr."
"SCHL001Acar","SCH","lepidoptera","Anthocharis_cardamines",NA,NA,"Pieridae","Aurorafalter",NA,NA,NA,NA
"SCHL002Ahyp","SCH","lepidoptera","Aphantopus_hyperantus",NA,NA,"Nymphalidae","Schornsteinfeger",NA,NA,NA,NA
"SCHL004Alev","SCH","lepidoptera","Araschnia_levana",NA,NA,"Nymphalidae","Landkärtchen",NA,NA,NA,NA
"SCHL007Apap","SCH","lepidoptera","Argynnis_paphia",NA,NA,"Nymphalidae","Kaisermantel",NA,NA,NA,NA
"SCHL013Cgly","SCH","lepidoptera","Coenonympha_glycerion",NA,NA,"Nymphalidae","Rotbraunes Wiesenvögelchen",NA,NA,NA,NA
"SCHL014Cpam","SCH","lepidoptera","Coenonympha_pamphilus",NA,NA,"Nymphalidae","Kleines Wiesenvögelchen",NA,NA,NA,NA
"SCHL016Chya","SCH","lepidoptera","Colias_hyale",NA,NA,"Pieridae","Weißklee-Gelbling",NA,NA,NA,NA
"SCHL019Grha","SCH","lepidoptera","Gonepteryx_rhamni",NA,NA,"Pieridae","Zitronenfalter",NA,NA,NA,NA
"SCHL0021Iio","SCH","lepidoptera","Inachis_io","Aglais_io",NA,"Nymphalidae","Tagpfauenauge",NA,NA,NA,NA
"SCHL022Ilat","SCH","lepidoptera","Issoria_lathonia",NA,NA,"Nymphalidae","Kleiner Perlmutterfalter",NA,NA,NA,NA
"SCHL025Lphl","SCH","lepidoptera","Lycaena_phlaeas",NA,NA,"Lycaenidae","Kleiner Feuerfalter",NA,NA,NA,NA
"SCHL028Mjur","SCH","lepidoptera","Maniola_jurtina",NA,NA,"Nymphalidae","Großes Ochsenauge",NA,NA,NA,NA
"SCHL029Mgal","SCH","lepidoptera","Melanargia_galathea",NA,NA,"Nymphalidae","Schachbrett",NA,NA,NA,NA
"SCHL034Pmac","SCH","lepidoptera","Papilio_machaon",NA,NA,"Papilionidae","Schwalbenschwanz",NA,NA,NA,NA
"SCHL035Pbra","SCH","lepidoptera","Pieris_brassicae",NA,NA,"Pieridae","Großer Kohl-Weißling",NA,NA,NA,NA
"SCHL036Pnap","SCH","lepidoptera","Pieris_napi",NA,NA,"Pieridae","Grünader-Weißling",NA,NA,NA,NA
"SCHL037Prap","SCH","lepidoptera","Pieris_rapae",NA,NA,"Pieridae","Kleiner Kohl-Weißling",NA,NA,NA,NA
"SCHL041Pica","SCH","lepidoptera","Polyommatus_icarus",NA,NA,"Lycaenidae","Hauhechel-Bläuling",NA,NA,NA,NA
"SCHL043Pedu","SCH","lepidoptera","Pontia_edusa",NA,NA,"Pieridae","Östlicher Resedaweißling","Resedafalter",NA,NA,NA
"SCHL047Tlin","SCH","lepidoptera","Thymelicus_lineola","Thymelicus_lineolus",NA,"Hesperiidae","Schwarzkolbiger Braun-Dickkopffalter",NA,NA,NA,NA
"SCHL048Tsyl","SCH","lepidoptera","Thymelicus_sylvestris",NA,NA,"Hesperiidae","Braunkolbiger Braun-Dickkopffalter",NA,NA,NA,NA
